Title,Subtitle,DateTime
PRIVILEGE,Consideration of Report of Privileges Committee—Disclosure of Outcome of Vote Taken During the Environment Committee's Consideration of a Bill,2023-03-29 14:47:50
NATURAL AND BUILT ENVIRONMENT BILL ,In Committee,2023-07-27 14:55:46
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 5 to Minister,2023-07-27 18:01:43
VISITORS,Australia—Prime Minister,2023-07-26 14:01:41
ANNIE OXBOROUGH BIRTH PARENTS REGISTRATION BILL,Second Reading,2023-07-26 16:00:02
IN COMMITTEE,,2023-07-26 16:58:51
COMPANIES (DIRECTORS' DUTIES) AMENDMENT BILL,In Committee,2023-07-26 17:17:02
CROWN MINERALS (PROHIBITION OF MINING) AMENDMENT BILL,First Reading,2023-07-26 17:50:26
ORANGA TAMARIKI (REPEAL OF SECTION 7AA) AMENDMENT BILL,First Reading,2023-07-26 19:30:26
EMPLOYMENT RELATIONS (RESTRAINT OF TRADE) AMENDMENT BILL,First Reading,2023-07-26 20:37:07
SALE AND SUPPLY OF ALCOHOL (CELLAR DOOR TASTING) AMENDMENT BILL,First Reading,2023-07-26 21:36:46
NATURAL AND BUILT ENVIRONMENT BILL ,In Committee,2023-07-26 09:00:20
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 7 to Minister,2023-07-26 12:57:01
VISITORS,Philippines—Senate,2023-07-25 14:00:56
URGENT DEBATES,Ministerial Resignation—Hon Kiritapu Allan,2023-07-25 14:59:09
LOCAL GOVERNMENT ELECTORAL LEGISLATION BILL,Instruction to Committee,2023-07-25 16:09:14
NATURAL AND BUILT ENVIRONMENT BILL ,In Committee,2023-07-25 16:13:49
MINISTERIAL STATEMENTS,Serious Firearms Incident—Auckland,2023-07-20 14:01:08
CROWN MINERALS AMENDMENT BILL,Second Reading,2023-07-20 15:09:57
LEGAL SERVICES AMENDMENT BILL,Second Reading,2023-07-20 15:58:34
SALE AND SUPPLY OF ALCOHOL (COMMUNITY PARTICIPATION) AMENDMENT BILL,Second Reading,2023-07-20 17:04:11
THERAPEUTIC PRODUCTS BILL,In Committee,2023-07-19 09:00:17
FUEL INDUSTRY AMENDMENT BILL,In Committee,2023-07-19 11:46:46
SALE AND SUPPLY OF ALCOHOL (RUGBY WORLD CUP 2023 EXTENDED TRADING HOURS) AMENDMENT BILL,Second Reading,2023-07-19 12:53:27
VOTING,Corrections,2023-07-19 14:48:28
SALE AND SUPPLY OF ALCOHOL (RUGBY WORLD CUP 2023 EXTENDED TRADING HOURS) AMENDMENT BILL,Second Reading,2023-07-19 14:50:45
BUSINESS PAYMENT PRACTICES BILL,In Committee,2023-07-19 16:24:38
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 8 to Minister,2023-07-19 17:45:36
BUSINESS PAYMENT PRACTICES BILL,Third Reading,2023-07-19 17:46:00
VOTING,Correction—Sale and Supply of Alcohol (Rugby World Cup 2023 Extended Trading Hours) Amendment Bill,2023-07-19 19:15:00
LOCAL GOVERNMENT OFFICIAL INFORMATION AND MEETINGS AMENDMENT BILL,Second Reading,2023-07-19 19:15:39
VOTING,Correction—Business Payment Practices Bill,2023-07-19 19:22:46
LOCAL GOVERNMENT OFFICIAL INFORMATION AND MEETINGS AMENDMENT BILL,Second Reading,2023-07-19 19:23:29
INSPECTOR-GENERAL OF DEFENCE BILL,Second Reading,2023-07-19 21:29:20
PRIVILEGE,Registrar's Inquiry into Hon Michael Wood's compliance with the requirements of Appendix B of the Standing Orders—Question of Privilege,2023-07-18 14:03:04
URGENT DEBATES DECLINED,Oranga Tamariki—Fighting at Youth Justice Residences,2023-07-18 14:59:13
PRIVILEGE,Consideration of Report of Privileges Committee—Time Taken to Correct a Misleading Statement,2023-07-18 15:00:27
NATURAL AND BUILT ENVIRONMENT BILL ,Second Reading,2023-07-18 15:54:53
SPATIAL PLANNING BILL,Second Reading,2023-07-18 17:21:55
