Name,Is_Mp
David Parker,True
Scott Simpson,True
Chris Penk,True
David Bennett,True
Camilla Belich,True
Andrew Bayly,True
Stuart Nash,True
Damien Smith,True
Karen Chhour,True
Helen White,True
Stuart Smith,True
Peeni Henare,True
David Seymour,True
Grant Robertson,True
Jan Tinetti,True
Chris Bishop,True
Carmel Sepuloni,True
Glen Bennett,True
Kiritapu Allan,True
Matt Doocey,True
Ricardo menéndez March,True
Simon Court,True
Megan Woods,True
Duncan Webb,True
Paul Goldsmith,True
Gerry Brownlee,True
Ayesha Verrall,True
Chris Baillie,True
Angela Roberts,True
Kieran Mcanulty,True
Simon Watts,True
Todd Muller,True
Andrew Little,True
Tangi Utikere,True
Ingrid Leary,True
Willow-jean Prime,True
Priyanca Radhakrishnan,True
Rachel Boyack,True
Chlöe Swarbrick,True
Eugenie Sage,True
Shanan Halbert,True
Kelvin Davis,True
David Clark,True
Barbara Edmonds,True
Tracey Mclellan,True
Rachel Brooking,True
Tama Potaka,True
Ian Mckelvie,True
Louise Upston,True
Tāmati Coffey,True
Michael Wood,True
Vanushi Walters,True
Ginny Andersen,True
Damien O'connor,True
Simon O'connor,True
Naisi Chen,True
Mark Cameron,True
Jo Luxton,True
Teanau Tuiono,True
Ibrahim Omer,True
James Shaw,True
Golriz Ghahraman,True
Steph Lewis,True
Deborah Russell,True
Debbie Ngarewa-packer,True
Chris Hipkins,True
Meka Whaitiri,True
Nicole Mckee,True
Michael Woodhouse,True
Simeon Brown,True
Nicola Willis,True
Maureen Pugh,True
Jacqui Dean,True
Arena Williams,True
Brooke van Velden,True
Elizabeth Kerekere,True
Christopher Luxon,True
Rino Tirikatene,True
Anna Lorck,True
Nicola Grigg,True
Harete Hipango,True
Todd Mcclay,True
Nanaia Mahuta,True
Willie Jackson,True
Sam Uffindell,True
Aupito william Sio,True
Julie anne Genter,True
Lemauga lydia Sosene,True
Rawiri Waititi,True
Jenny Salesa,True
Poto Williams,True
Jan Logie,True
Mark Mitchell,True
Joseph Mooney,True
Jamie Strange,True
Greg O'connor,True
Barbara Kuriger,True
James Mcdowall,True
Judith Collins,True
Toni Severin,True
Marama Davidson,True
Penny Simmonds,True
Liz Craig,True
Emily Henderson,True
Paul Eagle,True
Erica Stanford,True
Melissa Lee,True
Terisa Ngobi,True
Shane Reti,True
Julie Anne Genter,True
Anahila Kanongata'a,True
Anae Neru Leavasa,True
Maria Lubeck,True
Kieran McAnulty,True
Todd McClay,True
James McDowall,True
Nicole McKee,True
Ian McKelvie,True
Tracey McLellan,True
Ricardo Menéndez March,True
Debbie Ngarewa-Packer,True
Damien O'Connor,True
Greg O'Connor,True
Simon O'Connor,True
Sarah Pallett,True
Soraya Peke-Mason,True
Willow-Jean Prime,True
Daniel Rosewarne,True
Adrian Rurawhe,True
Aupito William Sio,True
Lemauga Lydia Sosene,True
Philip Twyford,True
Timothy van de Molen,True
Angela Warren-Clark,True
Speaker,False
Chairperson,False
Deputy Speaker,False
Member,False
Assistant Speaker,False
Na,False
Clerk,False
Angela Warren-clark,True
Timothy van de Molen,True
Maria Lubeck,True
Jacinda Ardern,False
Anahila Kanongata'a,True
Philip Twyford,True
Members,False
Assistant speaker ian Mckelvie),False
Kris Faafoi,False
Louisa Wall,False
The Sub-subbasement,False
Simon Bridges,False
,False
"The purpose of the inquiry is to provide feedback on the extent to which the provisions in the exposure draft of the natural and built environments bill will support the resource management reform objectives, To",False
"For the avoidance of doubt, the scope of the inquiry is limited to the Following",False
Nick Smith,False
