Speech_Content_ID,Type,Name,Text,Speech_Time
0,Speech,Speaker," Members, I regret to inform the House of the death, on 24 July 2023, of Thomas de Vere (Pat) Hunt, who represented the electorate of Pakuranga from 1978 to 1984. During his membership of the House, he was a member of a number of select committees, including the Foreign Affairs Committee, the Labour and Education Committee, and the Public Expenditure Committee.",29/08/2023 14:01
1,a,Speaker,"I also regret to inform the House of the death, on 27 August 2023, of David Graham McGee CNZM, KC, who was Clerk of the House of Representatives from 1985 to 2007. He was the author of the first three editions of Parliamentary Practice in New Zealand and was held in high esteem throughout the Commonwealth as an expert on parliamentary procedure.",29/08/2023 14:01
2,a,Speaker,"I desire, on behalf of the House, to express our sense of the loss we have sustained and our sympathy with the relatives of the late former member and Clerk. I now ask members to stand with me and observe a period of silence as a mark of respect to their memories.",29/08/2023 14:01
3,Speech,Speaker," Members, I have been considering how to respond to allegations that, during oral questions last week, Rawiri Waititi may have breached a suppression order imposed by a court. ",29/08/2023 14:03
4,a,Speaker,"In 2009, the Privileges Committee reported to the House on the exercise of the privilege of freedom of speech by members in the context of court orders. This led to Standing Order 116 being adopted in its current form in 2011. It balances the House's privilege of free speech with the relationship between the House and the judiciary. Standing Order 116 gives the Speaker responsibility for balancing these important interests. To allow the Speaker to exercise discretion, it requires a member who intends to refer to a matter that is subject to a suppression order to give written notice to the Speaker. Mr Waititi did not give notice but then referred to a matter that apparently is suppressed by a court. I do not know whether his failure to give notice is because he chose not to or because there is no such order.",29/08/2023 14:03
5,a,Speaker,"I do not intend to inquire further into matters that may be suppressed, as my doing so may itself be inconsistent with the principle of comity. Standing Order 418(y) is clear that it is a contempt of this House to knowingly make reference to a matter suppressed by an order of a court, contrary to the Standing Orders. In this case, the difficulty is that investigating whether Mr Waititi has done so risks compounding the harm caused by the original breach by confirming the existence of a suppression order and possibly identifying the subject of it.",29/08/2023 14:03
6,a,Speaker,"So I have decided to deal with this matter in two ways. First, I will refer a general question of privilege to the Privileges Committee asking to consider how the House should deal with cases such as this, where a member may have made reference to a matter in breach of a suppression order but investigating it could be inconsistent with the order if one exists.",29/08/2023 14:03
7,a,Speaker,"Second, I intend to deal with Mr Waititi's comments as a matter of order. The words Mr Waititi used in the House indicate that he believed that the matter concerned was subject to a suppression order, and, yet, he raised it without first notifying the Speaker. Parliament's relationship with the courts is of utmost constitutional importance. Reckless use of the freedom of speech enjoyed by the House damages that relationship and undermines the standing of this Parliament and the privileges on which it depends.",29/08/2023 14:03
8,Speech,Speaker," I'm sure that members would wish to welcome members from the Malaysian Parliamentary Special Select Committee for Women, Children and Community Development, led by the Hon Hajah Rodziah binti Ismail.",29/08/2023 14:08
9,Speech,Grant Robertson," I seek leave that the House appoint the Hon Poto Williams as an Assistant Speaker until the end of Thursday, 31 August 2023, despite Standing Order 29.",29/08/2023 15:13
10,Speech,Speaker, Is there objection to that course being followed? There is none. Thank you very much.,29/08/2023 15:13
11,Speech,David Parker," I move, That the report of the Privileges Committee concerning a member's compliance with the requirements of Appendix B of the Standing Orders be noted. ",29/08/2023 15:13
12,a,David Parker,"I will, as chair of the Privileges Committee, give a summary of the report from the committee. This report relates to the failure by the Hon Mr Wood to properly declare his interests in two companies: Auckland International Airport Limited and Contact Energy. As the report shows, Mr Wood had these interests at the time he entered into Parliament, but he had acquired those shares quite a long time ago, around 1998, and he didn't declare them until 2022 and 2023. He first entered Parliament in 2017, and as the report explains—and as Mr Wood explained to the committee—he forgot that he owned those shares. He was, at one time, also confused between the shares in his personal name and shares held by a trust. But in any event, the committee found that his actions in respect of the period between 2017 and 2022 when he did declare the shares, was essentially negligent in that he was in breach of his duties to the House to make a proper disclosure of those shares. ",29/08/2023 15:13
13,a,David Parker,"There was also an allegation that shares that were owned by a trust in which he had an interest—also in Auckland International Airport—should have been disclosed. The committee went through in some detail, the—oh, no. Sorry. Before I cover that, I should note that there are a number of members who on occasions make mistakes in their returns on shares or other assets, and those mistakes are not to be taken lightly. But when a mistake is noted, it is a duty upon the member not just to fix the error going forward by making a correct disclosure in a later year, but to cause the registrar to be aware of the error or the omission in earlier returns, and to correct that error by causing the earlier returns to be corrected. And that's the mistake that Mr Wood made here: both not declaring the shares in Auckland International Airport and Contact Energy in those first five years, but then, once he did become aware that he had made those mistakes, not correcting the earlier returns—instead, he just made correct returns in the years that followed.",29/08/2023 15:13
14,a,David Parker,"The other allegation that was made against him was in respect of shares owned by the JM Fairey Family Trust, and there the committee quite carefully sets out the rules that are in Standing Orders. Those rules say that pecuniary interests that are held by a member in a company or business entity are meant to be disclosed to the extent that the rules require them to be disclosed. The rules, then, make it clear that company interests that are owned by a trust, or indeed another company, don't have to be disclosed. And that's made clear by clause 5(2) of the relevant rules, which says that ""a member does not have a pecuniary interest in a company … merely because the member has a pecuniary interest in another ….business entity""—in this case a trust—""that has a pecuniary interest in [that company]"". And it's on that issue that the Privileges Committee makes it clear that on our reading of the rules, it's actually quite clear that interests owned by a trust in a company don't currently have to be disclosed. ",29/08/2023 15:13
15,a,David Parker,"That's also made clear in the relevant form that members have to fill in, form 4, which sets out beneficial interests and trusteeships of trust, and the form says ""Do not include the pecuniary interests that the trust itself may have, e.g., the assets of the trust—the exception to which is real property held in a trust, which you should declare in form 6."" Now, the reason that there is a different rule for real property is because the Standing Orders make it clear, with a specific rule covering that, that real interests in land held by a trust do have to be disclosed, but the opposite is the case in respect of shares held by a trust. So one of the recommendations of the Privileges Committee is that if the Standing Orders Committee indeed thinks that interests of a trust in a company should be declared, then the Standing Orders should be changed to make that clear. But at the moment, the opposite is true: it is clear that they don't have to be. So to that extent, we disagreed with the reference that had been made to us by the Registrar of Pecuniary Interests, because we thought it was clear unanimously across the committee on the face of the rules that those other interests did not need to be declared, i.e., an interest of a trust in a company is not caught by the disclosure rules. ",29/08/2023 15:13
16,a,David Parker,"It remains the case, however, that the Hon Michael Wood should have disclosed the interests that he held in his personal name between 2017 and 2022, and that he didn't—and that once he became aware of that error, he shouldn't have just corrected the matter going forward, he should have corrected it looking backwards. I would also note that the committee found that this didn't amount to a contempt. It was a serious breach of the rules that the committee drew to the attention of the House, and our recommendation was that the member be required to apologise. ",29/08/2023 15:13
17,Speech,Ginny Andersen (Minister For The Digital Economy And Communications) On Behalf Of The Leader Of The House," I move, That, under section 25(1) and (2) of the Parliamentary Service Act 2000 and effective on 1 November 2023, this House—replace clause 3(a) of the Parliamentary Service (Parliamentary Precincts) Resolution 2021 with the land and buildings at 147 Lambton Quay, Wellington, contained in record title WN53A/210 and leased by the Parliamentary Corporation as at the date of this resolution, comprising levels 2-6 of the building, being 3,354m² more or less, and 9 carparks in the basement of the building.",29/08/2023 16:05
18,Speech,Speaker, The question is that the motion be agreed to.,29/08/2023 16:05
19,Speech,Ginny Andersen," I move, That the House take note of the Declaration of inconsistency: Voting age in the Electoral Act 1993 and the Local Electoral Act 2001.",29/08/2023 16:05
